Month,Country,Arrivals
May-24,New Zealand,148020
Jun-24,New Zealand,142810
Jul-24,New Zealand,164880
Jan-19,PNG,3830
Feb-19,PNG,2760
Mar-19,PNG,2900
Apr-19,PNG,3430
May-19,PNG,3070
Jun-19,PNG,3300
Jul-19,PNG,3950
Aug-19,PNG,3510
Sep-19,PNG,3610
Oct-19,PNG,3700
Nov-19,PNG,3540
Dec-19,PNG,4260
Jan-20,PNG,3900
Feb-20,PNG,2670
Mar-20,PNG,1560
Apr-20,PNG,30
May-20,PNG,60
Jun-20,PNG,60
Jul-20,PNG,70
Aug-20,PNG,30
Sep-20,PNG,60
Oct-20,PNG,60
Nov-20,PNG,60
Dec-20,PNG,100
Jan-21,PNG,80
Feb-21,PNG,90
Mar-21,PNG,90
Apr-21,PNG,50
May-21,PNG,60
Jun-21,PNG,80
Jul-21,PNG,60
Aug-21,PNG,70
Sep-21,PNG,40
Oct-21,PNG,60
Nov-21,PNG,120
Dec-21,PNG,150
Jan-22,PNG,240
Feb-22,PNG,350
Mar-22,PNG,800
Apr-22,PNG,890
May-22,PNG,1160
Jun-22,PNG,1280
Jul-22,PNG,1780
Aug-22,PNG,1650
Sep-22,PNG,2240
Oct-22,PNG,2030
Nov-22,PNG,2280
Dec-22,PNG,3530
Jan-23,PNG,3040
Feb-23,PNG,2240
Mar-23,PNG,2250
Apr-23,PNG,2490
May-23,PNG,2710
Jun-23,PNG,2830
Jul-23,PNG,3180
Aug-23,PNG,2810
Sep-23,PNG,3350
Oct-23,PNG,2880
Nov-23,PNG,2780
Dec-23,PNG,5320
Jan-24,PNG,3920
Feb-24,PNG,2810
Mar-24,PNG,2930
Apr-24,PNG,3020
May-24,PNG,3280
Jun-24,PNG,3270
Jul-24,PNG,3860
Jan-19,Solomon Islands,690
Feb-19,Solomon Islands,440
Mar-19,Solomon Islands,440
Apr-19,Solomon Islands,450
May-19,Solomon Islands,610
Jun-19,Solomon Islands,560
Jul-19,Solomon Islands,660
Aug-19,Solomon Islands,460
Sep-19,Solomon Islands,630
Oct-19,Solomon Islands,700
Nov-19,Solomon Islands,720
Dec-19,Solomon Islands,690
Jan-20,Solomon Islands,620
Feb-20,Solomon Islands,490
Mar-20,Solomon Islands,240
Jul-20,Solomon Islands,10
Oct-20,Solomon Islands,10
Nov-20,Solomon Islands,180
Dec-20,Solomon Islands,10
Jan-21,Solomon Islands,10
Feb-21,Solomon Islands,20
Mar-21,Solomon Islands,160
Apr-21,Solomon Islands,360
May-21,Solomon Islands,330
Jun-21,Solomon Islands,180
Jul-21,Solomon Islands,180
Aug-21,Solomon Islands,200
Sep-21,Solomon Islands,200
Oct-21,Solomon Islands,460
Nov-21,Solomon Islands,280
Dec-21,Solomon Islands,230
Jan-22,Solomon Islands,30
Feb-22,Solomon Islands,70
Mar-22,Solomon Islands,170
Apr-22,Solomon Islands,480
May-22,Solomon Islands,380
Jun-22,Solomon Islands,570
Jul-22,Solomon Islands,550
Aug-22,Solomon Islands,390
Sep-22,Solomon Islands,560
Oct-22,Solomon Islands,500
Nov-22,Solomon Islands,680
Dec-22,Solomon Islands,630
Jan-23,Solomon Islands,860
Feb-23,Solomon Islands,590
Mar-23,Solomon Islands,690
Apr-23,Solomon Islands,840
May-23,Solomon Islands,830
Jun-23,Solomon Islands,810
Jul-23,Solomon Islands,840
Aug-23,Solomon Islands,830
Sep-23,Solomon Islands,750
Oct-23,Solomon Islands,910
Nov-23,Solomon Islands,830
Dec-23,Solomon Islands,970
Jan-24,Solomon Islands,1320
Feb-24,Solomon Islands,880
Mar-24,Solomon Islands,750
Apr-24,Solomon Islands,760
May-24,Solomon Islands,960
Jun-24,Solomon Islands,930
Jul-24,Solomon Islands,840
Jan-19,Vanuatu,630
Feb-19,Vanuatu,700
Mar-19,Vanuatu,710
Apr-19,Vanuatu,640
May-19,Vanuatu,1060
Jun-19,Vanuatu,810
Jul-19,Vanuatu,600
Aug-19,Vanuatu,880
Sep-19,Vanuatu,1400
Oct-19,Vanuatu,1090
Nov-19,Vanuatu,1220
Dec-19,Vanuatu,770
Jan-20,Vanuatu,1050
Feb-20,Vanuatu,790
Mar-20,Vanuatu,430
Sep-20,Vanuatu,170
Oct-20,Vanuatu,170
Nov-20,Vanuatu,10
Dec-20,Vanuatu,160
Jan-21,Vanuatu,570
Feb-21,Vanuatu,10
Mar-21,Vanuatu,170
Apr-21,Vanuatu,510
May-21,Vanuatu,600
Jun-21,Vanuatu,770
Jul-21,Vanuatu,390
Aug-21,Vanuatu,810
Sep-21,Vanuatu,430
Oct-21,Vanuatu,440
Nov-21,Vanuatu,270
Dec-21,Vanuatu,540
Jan-22,Vanuatu,280
Feb-22,Vanuatu,130
Mar-22,Vanuatu,260
Apr-22,Vanuatu,210
May-22,Vanuatu,380
Jun-22,Vanuatu,410
Jul-22,Vanuatu,500
Aug-22,Vanuatu,720
Sep-22,Vanuatu,1100
Oct-22,Vanuatu,1330
Nov-22,Vanuatu,1610
Dec-22,Vanuatu,1160
Jan-23,Vanuatu,660
Feb-23,Vanuatu,1300
Mar-23,Vanuatu,830
Apr-23,Vanuatu,870
May-23,Vanuatu,1110
Jun-23,Vanuatu,1150
Jul-23,Vanuatu,1190
Aug-23,Vanuatu,1150
Sep-23,Vanuatu,1260
Oct-23,Vanuatu,1320
Nov-23,Vanuatu,1530
Dec-23,Vanuatu,1070
Jan-24,Vanuatu,950
Feb-24,Vanuatu,1130
Mar-24,Vanuatu,990
Apr-24,Vanuatu,980
May-24,Vanuatu,1000
Jun-24,Vanuatu,1020
Jul-24,Vanuatu,850
Jan-19,Kiribati,170
Feb-19,Kiribati,140
Mar-19,Kiribati,100
Apr-19,Kiribati,100
May-19,Kiribati,260
Jun-19,Kiribati,170
Jul-19,Kiribati,120
Aug-19,Kiribati,120
Sep-19,Kiribati,140
Oct-19,Kiribati,140
Nov-19,Kiribati,190
Dec-19,Kiribati,190
Jan-20,Kiribati,100
Feb-20,Kiribati,110
Mar-20,Kiribati,60
Oct-20,Kiribati,60
Mar-21,Kiribati,10
May-21,Kiribati,200
Aug-21,Kiribati,10
Sep-21,Kiribati,90
Nov-21,Kiribati,10
Dec-21,Kiribati,10
Jan-22,Kiribati,100
Feb-22,Kiribati,30
Mar-22,Kiribati,80
Apr-22,Kiribati,20
May-22,Kiribati,60
Jun-22,Kiribati,130
Jul-22,Kiribati,140
Aug-22,Kiribati,180
Sep-22,Kiribati,90
Oct-22,Kiribati,240
Nov-22,Kiribati,210
Dec-22,Kiribati,130
Jan-23,Kiribati,130
Feb-23,Kiribati,210
Mar-23,Kiribati,310
Apr-23,Kiribati,90
May-23,Kiribati,370
Jun-23,Kiribati,240
Jul-23,Kiribati,260
Aug-23,Kiribati,130
Sep-23,Kiribati,300
Oct-23,Kiribati,210
Nov-23,Kiribati,290
Dec-23,Kiribati,300
Jan-24,Kiribati,240
Feb-24,Kiribati,270
Mar-24,Kiribati,200
Apr-24,Kiribati,120
May-24,Kiribati,270
Jun-24,Kiribati,310
Jul-24,Kiribati,170
Feb-19,Marshall Is,10
Mar-19,Marshall Is,10
Apr-19,Marshall Is,10
May-19,Marshall Is,10
Jun-19,Marshall Is,10
Jul-19,Marshall Is,10
Aug-19,Marshall Is,10
Sep-19,Marshall Is,10
Oct-19,Marshall Is,10
Nov-19,Marshall Is,10
Dec-19,Marshall Is,10
Aug-22,Marshall Is,10
Oct-22,Marshall Is,10
Nov-22,Marshall Is,30
Dec-22,Marshall Is,20
Jan-23,Marshall Is,10
Feb-23,Marshall Is,30
Mar-23,Marshall Is,20
Apr-23,Marshall Is,10
May-23,Marshall Is,20
Jun-23,Marshall Is,10
Jul-23,Marshall Is,20
Aug-23,Marshall Is,20
Sep-23,Marshall Is,10
Oct-23,Marshall Is,20
Nov-23,Marshall Is,20
Dec-23,Marshall Is,20
Jan-24,Marshall Is,10
Feb-24,Marshall Is,10
Mar-24,Marshall Is,20
Apr-24,Marshall Is,10
May-24,Marshall Is,10
Jun-24,Marshall Is,20
Jul-24,Marshall Is,20
Jan-19,"Micronesia, F S",10
Feb-19,"Micronesia, F S",10
Mar-19,"Micronesia, F S",10
Apr-19,"Micronesia, F S",10
May-19,"Micronesia, F S",30
Jun-19,"Micronesia, F S",20
Jul-19,"Micronesia, F S",10
Aug-19,"Micronesia, F S",10
Sep-19,"Micronesia, F S",10
Oct-19,"Micronesia, F S",20
Nov-19,"Micronesia, F S",30
Dec-19,"Micronesia, F S",10
Jan-20,"Micronesia, F S",10
Feb-20,"Micronesia, F S",10
Jun-22,"Micronesia, F S",10
Aug-22,"Micronesia, F S",10
Sep-22,"Micronesia, F S",10
Oct-22,"Micronesia, F S",10
Nov-22,"Micronesia, F S",20
Dec-22,"Micronesia, F S",10
Jan-23,"Micronesia, F S",10
Feb-23,"Micronesia, F S",30
Mar-23,"Micronesia, F S",20
Apr-23,"Micronesia, F S",20
May-23,"Micronesia, F S",20
Jun-23,"Micronesia, F S",10
Jul-23,"Micronesia, F S",10
Aug-23,"Micronesia, F S",20
Sep-23,"Micronesia, F S",10
Oct-23,"Micronesia, F S",10
Nov-23,"Micronesia, F S",20
Dec-23,"Micronesia, F S",10
Jan-24,"Micronesia, F S",10
Feb-24,"Micronesia, F S",10
Mar-24,"Micronesia, F S",20
Apr-24,"Micronesia, F S",20
May-24,"Micronesia, F S",10
Jun-24,"Micronesia, F S",20
Jul-24,"Micronesia, F S",20
Jan-19,Nauru,290
Feb-19,Nauru,260
Mar-19,Nauru,460
Apr-19,Nauru,350
May-19,Nauru,330
Jun-19,Nauru,330
Jul-19,Nauru,520
Aug-19,Nauru,470
Sep-19,Nauru,660
Oct-19,Nauru,540
Nov-19,Nauru,420
Dec-19,Nauru,580
Jan-20,Nauru,440
Feb-20,Nauru,290
Mar-20,Nauru,130
Apr-20,Nauru,10
Jun-20,Nauru,20
Jul-20,Nauru,10
Aug-20,Nauru,10
Sep-20,Nauru,20
Oct-20,Nauru,20
Nov-20,Nauru,10
Dec-20,Nauru,10
Jan-21,Nauru,20
Feb-21,Nauru,10
Mar-21,Nauru,10
Apr-21,Nauru,10
May-21,Nauru,10
Jun-21,Nauru,10
Sep-21,Nauru,10
Oct-21,Nauru,10
Nov-21,Nauru,10
Dec-21,Nauru,10
Jan-22,Nauru,10
Feb-22,Nauru,70
Mar-22,Nauru,170
Apr-22,Nauru,200
May-22,Nauru,120
Jun-22,Nauru,160
Jul-22,Nauru,290
Aug-22,Nauru,340
Sep-22,Nauru,370
Oct-22,Nauru,620
Nov-22,Nauru,630
Dec-22,Nauru,540
Jan-23,Nauru,470
Feb-23,Nauru,360
Mar-23,Nauru,420
Apr-23,Nauru,400
May-23,Nauru,540
Jun-23,Nauru,470
Jul-23,Nauru,610
Aug-23,Nauru,460
Sep-23,Nauru,790
Oct-23,Nauru,580
Nov-23,Nauru,540
Dec-23,Nauru,680
Jan-24,Nauru,470
Feb-24,Nauru,360
Mar-24,Nauru,580
Apr-24,Nauru,390
May-24,Nauru,480
Jun-24,Nauru,600
Jul-24,Nauru,640
Feb-19,Palau,20
Mar-19,Palau,10
May-19,Palau,10
Jun-19,Palau,10
Jul-19,Palau,10
Aug-19,Palau,20
Sep-19,Palau,10
Oct-19,Palau,10
Nov-19,Palau,20
Dec-19,Palau,10
Feb-20,Palau,10
Jul-22,Palau,10
Aug-22,Palau,10
Sep-22,Palau,10
Oct-22,Palau,10
Nov-22,Palau,10
Dec-22,Palau,10
Jan-23,Palau,10
Feb-23,Palau,20
Mar-23,Palau,10
Apr-23,Palau,20
May-23,Palau,10
Jun-23,Palau,10
Jul-23,Palau,30
Aug-23,Palau,20
Sep-23,Palau,10
Oct-23,Palau,10
Nov-23,Palau,30
Dec-23,Palau,20
Jan-24,Palau,20
Feb-24,Palau,20
Mar-24,Palau,20
Apr-24,Palau,20
May-24,Palau,10
Jun-24,Palau,20
Jul-24,Palau,10
Jan-19,Fiji,4390
Feb-19,Fiji,3920
Mar-19,Fiji,4060
Apr-19,Fiji,4140
May-19,Fiji,3890
Jun-19,Fiji,3660
Jul-19,Fiji,3520
Aug-19,Fiji,4280
Sep-19,Fiji,3990
Oct-19,Fiji,3940
Nov-19,Fiji,4870
Dec-19,Fiji,7130
Jan-20,Fiji,4440
Feb-20,Fiji,3820
Mar-20,Fiji,1950
Apr-20,Fiji,30
May-20,Fiji,30
Jun-20,Fiji,30
Jul-20,Fiji,10
Aug-20,Fiji,20
Sep-20,Fiji,20
Oct-20,Fiji,60
Nov-20,Fiji,230
Dec-20,Fiji,50
Jan-21,Fiji,260
Feb-21,Fiji,70
Mar-21,Fiji,220
Apr-21,Fiji,220
May-21,Fiji,90
Jun-21,Fiji,140
Jul-21,Fiji,50
Aug-21,Fiji,50
Sep-21,Fiji,60
Oct-21,Fiji,40
Nov-21,Fiji,160
Dec-21,Fiji,670
Jan-22,Fiji,1020
Feb-22,Fiji,1450
Mar-22,Fiji,1970
Apr-22,Fiji,2470
May-22,Fiji,2640
Jun-22,Fiji,2720
Jul-22,Fiji,3140
Aug-22,Fiji,3230
Sep-22,Fiji,3550
Oct-22,Fiji,3760
Nov-22,Fiji,3720
Dec-22,Fiji,5680
Jan-23,Fiji,4300
Feb-23,Fiji,3740
Mar-23,Fiji,4050
Apr-23,Fiji,4770
May-23,Fiji,4980
Jun-23,Fiji,3980
Jul-23,Fiji,4700
Aug-23,Fiji,4650
Sep-23,Fiji,5050
Oct-23,Fiji,5190
Nov-23,Fiji,5040
Dec-23,Fiji,9220
Jan-24,Fiji,6120
Feb-24,Fiji,5090
Mar-24,Fiji,5340
Apr-24,Fiji,5480
May-24,Fiji,5490
Jun-24,Fiji,4420
Jul-24,Fiji,4790
Jan-19,Samoa,450
Feb-19,Samoa,560
Mar-19,Samoa,660
Apr-19,Samoa,570
May-19,Samoa,670
Jun-19,Samoa,570
Jul-19,Samoa,600
Aug-19,Samoa,560
Sep-19,Samoa,710
Oct-19,Samoa,660
Nov-19,Samoa,760
Dec-19,Samoa,1010
Jan-20,Samoa,580
Feb-20,Samoa,580
Mar-20,Samoa,270
Apr-20,Samoa,30
May-20,Samoa,10
Oct-20,Samoa,10
Dec-20,Samoa,10
Apr-21,Samoa,330
May-21,Samoa,200
Jun-21,Samoa,530
Jul-21,Samoa,230
Aug-21,Samoa,320
Sep-21,Samoa,370
Oct-21,Samoa,330
Nov-21,Samoa,560
Dec-21,Samoa,470
Jan-22,Samoa,260
Feb-22,Samoa,10
Mar-22,Samoa,460
Apr-22,Samoa,220
May-22,Samoa,150
Jun-22,Samoa,160
Jul-22,Samoa,180
Aug-22,Samoa,400
Sep-22,Samoa,390
Oct-22,Samoa,460
Nov-22,Samoa,690
Dec-22,Samoa,700
Jan-23,Samoa,360
Feb-23,Samoa,510
Mar-23,Samoa,560
Apr-23,Samoa,390
May-23,Samoa,480
Jun-23,Samoa,790
Jul-23,Samoa,520
Aug-23,Samoa,560
Sep-23,Samoa,730
Oct-23,Samoa,610
Nov-23,Samoa,690
Dec-23,Samoa,880
Jan-24,Samoa,700
Feb-24,Samoa,820
Mar-24,Samoa,720
Apr-24,Samoa,600
May-24,Samoa,660
Jun-24,Samoa,680
Jul-24,Samoa,560
Jan-19,Tonga,1230
Feb-19,Tonga,1310
Mar-19,Tonga,1170
Apr-19,Tonga,1350
May-19,Tonga,1710
Jun-19,Tonga,1220
Jul-19,Tonga,1210
Aug-19,Tonga,1160
Sep-19,Tonga,1300
Oct-19,Tonga,1520
Nov-19,Tonga,2050
Dec-19,Tonga,1900
Jan-20,Tonga,1220
Feb-20,Tonga,1080
Mar-20,Tonga,660
Apr-20,Tonga,60
May-20,Tonga,10
Jun-20,Tonga,10
Jul-20,Tonga,10
Oct-20,Tonga,160
Nov-20,Tonga,140
Dec-20,Tonga,180
Jan-21,Tonga,160
Feb-21,Tonga,300
Mar-21,Tonga,240
Apr-21,Tonga,400
May-21,Tonga,400
Jun-21,Tonga,350
Jul-21,Tonga,190
Aug-21,Tonga,10
Sep-21,Tonga,290
Oct-21,Tonga,370
Nov-21,Tonga,150
Dec-21,Tonga,180
Jan-22,Tonga,30
Feb-22,Tonga,20
Mar-22,Tonga,300
Apr-22,Tonga,290
May-22,Tonga,280
Jun-22,Tonga,480
Jul-22,Tonga,460
Aug-22,Tonga,470
Sep-22,Tonga,660
Oct-22,Tonga,780
Nov-22,Tonga,1350
Dec-22,Tonga,1360
Jan-23,Tonga,990
Feb-23,Tonga,960
Mar-23,Tonga,980
Apr-23,Tonga,1050
May-23,Tonga,1360
Jun-23,Tonga,1130
Jul-23,Tonga,1000
Aug-23,Tonga,960
Sep-23,Tonga,1320
Oct-23,Tonga,1140
Nov-23,Tonga,1730
Dec-23,Tonga,1960
Jan-24,Tonga,1580
Feb-24,Tonga,1270
Mar-24,Tonga,1330
Apr-24,Tonga,1290
May-24,Tonga,1430
Jun-24,Tonga,1360
Jul-24,Tonga,1180
Jan-19,Tuvalu,30
Feb-19,Tuvalu,40
Mar-19,Tuvalu,40
Apr-19,Tuvalu,40
May-19,Tuvalu,30
Jun-19,Tuvalu,30
Jul-19,Tuvalu,50
Aug-19,Tuvalu,40
Sep-19,Tuvalu,20
Oct-19,Tuvalu,40
Nov-19,Tuvalu,70
Dec-19,Tuvalu,60
Jan-20,Tuvalu,30
Feb-20,Tuvalu,60
Mar-20,Tuvalu,20
Feb-21,Tuvalu,10
Oct-21,Tuvalu,10
Nov-21,Tuvalu,10
Dec-21,Tuvalu,10
Mar-22,Tuvalu,10
Apr-22,Tuvalu,10
May-22,Tuvalu,10
Jun-22,Tuvalu,50
Jul-22,Tuvalu,10
Aug-22,Tuvalu,50
Sep-22,Tuvalu,50
Oct-22,Tuvalu,40
Nov-22,Tuvalu,70
Dec-22,Tuvalu,30
Jan-23,Tuvalu,40
Feb-23,Tuvalu,40
Mar-23,Tuvalu,90
Apr-23,Tuvalu,60
May-23,Tuvalu,70
Jun-23,Tuvalu,80
Jul-23,Tuvalu,80
Aug-23,Tuvalu,50
Sep-23,Tuvalu,110
Oct-23,Tuvalu,80
Nov-23,Tuvalu,130
Dec-23,Tuvalu,100
Jan-24,Tuvalu,70
Feb-24,Tuvalu,50
Mar-24,Tuvalu,50
Apr-24,Tuvalu,50
May-24,Tuvalu,130
Jun-24,Tuvalu,190
Jul-24,Tuvalu,130
Jan-19,"UK, CIs & IOM",106700
Feb-19,"UK, CIs & IOM",102910
Mar-19,"UK, CIs & IOM",91770
Apr-19,"UK, CIs & IOM",81970
May-19,"UK, CIs & IOM",52790
Jun-19,"UK, CIs & IOM",51290
Jul-19,"UK, CIs & IOM",66450
Aug-19,"UK, CIs & IOM",62730
Sep-19,"UK, CIs & IOM",68300
Oct-19,"UK, CIs & IOM",88430
Nov-19,"UK, CIs & IOM",89910
Dec-19,"UK, CIs & IOM",128230
Jan-20,"UK, CIs & IOM",103720
Feb-20,"UK, CIs & IOM",99370
Mar-20,"UK, CIs & IOM",50580
Apr-20,"UK, CIs & IOM",530
May-20,"UK, CIs & IOM",550
Jun-20,"UK, CIs & IOM",800
Jul-20,"UK, CIs & IOM",650
Aug-20,"UK, CIs & IOM",640
Sep-20,"UK, CIs & IOM",850
Oct-20,"UK, CIs & IOM",1160
Nov-20,"UK, CIs & IOM",1280
Dec-20,"UK, CIs & IOM",1140
Jan-21,"UK, CIs & IOM",1090
Feb-21,"UK, CIs & IOM",960
Mar-21,"UK, CIs & IOM",1040
Apr-21,"UK, CIs & IOM",1200
May-21,"UK, CIs & IOM",2460
Jun-21,"UK, CIs & IOM",2230
Jul-21,"UK, CIs & IOM",1750
Aug-21,"UK, CIs & IOM",1090
Sep-21,"UK, CIs & IOM",960
Oct-21,"UK, CIs & IOM",780
Nov-21,"UK, CIs & IOM",3400
Dec-21,"UK, CIs & IOM",10510
Jan-22,"UK, CIs & IOM",14280
Feb-22,"UK, CIs & IOM",14920
Mar-22,"UK, CIs & IOM",29770
Apr-22,"UK, CIs & IOM",36490
May-22,"UK, CIs & IOM",25220
Jun-22,"UK, CIs & IOM",27500
Jul-22,"UK, CIs & IOM",39140
Aug-22,"UK, CIs & IOM",39200
Sep-22,"UK, CIs & IOM",48720
Oct-22,"UK, CIs & IOM",61890
Nov-22,"UK, CIs & IOM",67410
Dec-22,"UK, CIs & IOM",98120
Jan-23,"UK, CIs & IOM",72280
Feb-23,"UK, CIs & IOM",79360
Mar-23,"UK, CIs & IOM",81350
Apr-23,"UK, CIs & IOM",54100
May-23,"UK, CIs & IOM",36500
Jun-23,"UK, CIs & IOM",36830
Jul-23,"UK, CIs & IOM",47120
Aug-23,"UK, CIs & IOM",49670
Sep-23,"UK, CIs & IOM",55030
Oct-23,"UK, CIs & IOM",68310
Nov-23,"UK, CIs & IOM",72280
Dec-23,"UK, CIs & IOM",101930
Jan-24,"UK, CIs & IOM",81990
Feb-24,"UK, CIs & IOM",88570
Mar-24,"UK, CIs & IOM",89430
Apr-24,"UK, CIs & IOM",54880
May-24,"UK, CIs & IOM",41010
Jun-24,"UK, CIs & IOM",40570
Jul-24,"UK, CIs & IOM",50940
Jan-19,Ireland,15180
Feb-19,Ireland,8840
Mar-19,Ireland,9340
Apr-19,Ireland,9480
May-19,Ireland,6710
Jun-19,Ireland,7240
Jul-19,Ireland,8790
Aug-19,Ireland,8820
Sep-19,Ireland,9030
Oct-19,Ireland,10330
Nov-19,Ireland,9160
Dec-19,Ireland,15100
Jan-20,Ireland,15270
Feb-20,Ireland,8840
Mar-20,Ireland,5420
Apr-20,Ireland,60
May-20,Ireland,70
Jun-20,Ireland,90
Jul-20,Ireland,70
Aug-20,Ireland,90
Sep-20,Ireland,160
Oct-20,Ireland,160
Nov-20,Ireland,120
Dec-20,Ireland,130
Jan-21,Ireland,210
Feb-21,Ireland,120
Mar-21,Ireland,130
Apr-21,Ireland,160
May-21,Ireland,260
Jun-21,Ireland,280
Jul-21,Ireland,280
Aug-21,Ireland,260
Sep-21,Ireland,210
Oct-21,Ireland,180
Nov-21,Ireland,430
Dec-21,Ireland,1210
Jan-22,Ireland,2660
Feb-22,Ireland,1920
Mar-22,Ireland,3750
Apr-22,Ireland,5070
May-22,Ireland,4030
Jun-22,Ireland,5050
Jul-22,Ireland,7230
Aug-22,Ireland,7450
Sep-22,Ireland,8190
Oct-22,Ireland,8120
Nov-22,Ireland,8230
Dec-22,Ireland,13780
Jan-23,Ireland,11970
Feb-23,Ireland,9290
Mar-23,Ireland,11210
Apr-23,Ireland,7910
May-23,Ireland,6070
Jun-23,Ireland,7790
Jul-23,Ireland,9480
Aug-23,Ireland,9400
Sep-23,Ireland,10540
Oct-23,Ireland,10330
Nov-23,Ireland,10450
Dec-23,Ireland,16710
Jan-24,Ireland,15950
Feb-24,Ireland,10400
Mar-24,Ireland,13300
Apr-24,Ireland,8750
May-24,Ireland,7280
Jun-24,Ireland,8570
Jul-24,Ireland,9760
Jan-19,Austria,2480
Feb-19,Austria,2590
Mar-19,Austria,2170
Apr-19,Austria,1420
May-19,Austria,1070
Jun-19,Austria,1100
Jul-19,Austria,2320
Aug-19,Austria,1590
Sep-19,Austria,1750
Oct-19,Austria,2230
Nov-19,Austria,2000
Dec-19,Austria,3240
Jan-20,Austria,2430
Feb-20,Austria,2380
Mar-20,Austria,1250
Apr-20,Austria,20
Jun-20,Austria,10
Jul-20,Austria,20
Aug-20,Austria,10
Sep-20,Austria,20
Oct-20,Austria,30
Nov-20,Austria,20
Dec-20,Austria,20
Jan-21,Austria,60
Feb-21,Austria,20
Mar-21,Austria,30
Apr-21,Austria,30
May-21,Austria,50
Jun-21,Austria,30
Jul-21,Austria,30
Aug-21,Austria,30
Sep-21,Austria,20
Oct-21,Austria,20
Nov-21,Austria,70
Dec-21,Austria,140
Jan-22,Austria,230
Feb-22,Austria,260
Mar-22,Austria,500
Apr-22,Austria,610
May-22,Austria,490
Jun-22,Austria,540
Jul-22,Austria,1000
Aug-22,Austria,880
Sep-22,Austria,1040
Oct-22,Austria,1420
Nov-22,Austria,1460
Dec-22,Austria,1890
Jan-23,Austria,1560
Feb-23,Austria,1990
Mar-23,Austria,1760
Apr-23,Austria,1100
May-23,Austria,790
Jun-23,Austria,870
